Hotel,URL,Room to be extracted
Novotel,https://www.agoda.com/novotel-danang-premier-han-river/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=ea3abc44-f608-4838-af7a-ef21876f84f2&ds=KVpBPN4fJR0hNKLf&checkin=2024-11-12,"Superior Room, balcony with Han river view - 2 single beds"
Amanaki Thao Dien,https://www.agoda.com/amanaki-apartment/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=5fc5476f-cfda-467d-99a8-c87005c1c1f7&los=1&searchrequestid=f21fc97d-993d-4ddf-aa68-53186ac40d1e&ds=RdkefN1aryIfmD%2BF&checkin=2025-07-25,Signature Balcony Double
Aurora Western Village Thảo Điền,https://www.agoda.com/aurora-western-village/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=85ef40a8-34e3-4c6a-a4a3-8519a73face3&ds=qMnnwutu%2FZvtFqcS&checkin=2025-07-24,Deluxe Double Room
Bach Suites Saigon,https://www.agoda.com/bach-suites-saigon_2/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=abe4994b-3514-4827-8da9-2e84973359bf&ds=ZOhIX4jnjJzsJ0Y%2F&checkin=2024-04-05,Superior King Room
Caravelle Saigon,https://www.agoda.com/caravelle-saigon-hotel/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=446a4e12-9421-4891-8cda-0696f5616226&checkin=2024-04-09,Deluxe Twin Room
Edoya Hotel Dong Khoi,https://www.agoda.com/edoya-hotel-dong-khoi/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=3&los=1&searchrequestid=8ae280be-1a82-4261-a12d-58e0e7f77dd5&ds=LxaZ4GK%2FBx7rq6OP&checkin=2025-07-09,Superior Twin Room
Fusion Original Saigon Centre,https://www.agoda.com/fusion-original-saigon-centre/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-14&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=97a4c356-156b-4ad0-ac20-b7598d5ccb03&ds=w9QgdGC2yLBRmB%2FY,Original King Room
Hilton,https://www.agoda.com/hilton-saigon/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=dfd0c406-8af2-444d-b4ae-a508f7084c2e&checkin=2024-04-09,Twin Guest Room
Hotel Indigo Saigon The City an IHG Hotel,https://www.agoda.com/hotel-indigo-saigon-the-city/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=44247ca4-7665-47d8-b479-5d0348c3c5c7&checkin=2025-02-06,1 King Standard City View
Icon Saigon Hotel,https://www.agoda.com/icon-saigon-luxury-design-hotel/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=26f8d99c-17ac-4d1b-85ce-821b44710c73&ds=LxaZ4GK%2FBx7rq6OP&checkin=2025-07-09,Superior Twin
Kin Hotel Dong Du,https://www.agoda.com/kin-hotel-dong-du/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-07-9&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=9aae2ced-15a2-4699-a200-e1755056463c&ds=LxaZ4GK%2FBx7rq6OP,Deluxe City View
KIN HOTEL DONG DU,https://www.agoda.com/kin-hotel-dong-du/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-02-10&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=11a62bbf-c051-48a8-90e4-d03ba89ea882,Deluxe City View
Kin Hotel Ly Tu Trong,https://www.agoda.com/ha-hien-hotel_6/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=11a62bbf-c051-48a8-90e4-d03ba89ea882&checkin=2026-02-11,Deluxe Twin No Window
Kin Hotel Thai Van Lung,https://www.agoda.com/kin-hotel-thai-van-lung/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-02-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=d3a9b9a3-b6bd-46c3-8ef1-27826fe226f4&ds=w9QgdGC2yLBRmB%2FY,Premier City View Twin Room
