Hotel,URL,Room to be extracted
Signature by M Village HBT,https://www.agoda.com/signature-by-m-village-hai-ba-trung/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-31&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=f216efd3-5069-4b05-bdf8-ffc813e72ebc&ds=RO3ZU6JUu9Rt6DDC,Studio Room City View
M Village Kim Mã,https://www.trip.com/hotels/hanoi-hotel-detail-130930228/m-village-hotel-kim-ma/?checkIn=2026-01-19&checkOut=2026-01-20&crn=1&adult=2&children=0&locale=en_xx,Superior No Window
Living Kỳ Đồng,https://www.agoda.com/m-village-k-d-ng/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=f0d7518a-d081-446c-9843-f93ecbe63c31&ds=RO3ZU6JUu9Rt6DDC&checkin=2025-08-31,Superior Room with Window
Living 59 Thảo Điền,https://www.agoda.com/m-village-59-th-o-di-n/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=7c32cfba-1c15-45ed-a8a1-ac4285be8f20&ds=RO3ZU6JUu9Rt6DDC&checkin=2025-08-31,Standard Studio
Express NBK,https://www.agoda.com/express-by-m-village-nguy-n-b-nh-khiem/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=3dc83b64-e055-4dab-b712-526517138eed&ds=RO3ZU6JUu9Rt6DDC&checkin=2025-09-02,Deluxe Room
M Village Hotel Thợ Nhuộm,https://www.trip.com/hotels/hanoi-hotel-detail-6311204/m-village-hotel-tho-nhuom/?locale=en_xx,Hot TN - Trip com bao gồm 2 pax ăn sáng + thuế Superior
M Village Hotel Nguyễn Du,http://agoda.com/m-village-hotel-nguy-n-du/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-9&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=b93b6fc7-9ec8-446d-9d56-346281e49563,Superior Room with Window - No View
Savvy by M Village Hai Bà Trưng,https://www.agoda.com/vi-vn/savvy-by-m-village-hai-ba-trung-saigon-downtown/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-01-5&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=ac4e6ca7-f6d7-4006-8f8e-9c0a997c050b&ds=YuiGcJl7cS1kNanN,"Phòng cao cấp Giường Lớn, Hướng Thành Phố (Superior King Bed, City View)"
Grand Signature by M Village Hoi An-Deluxe Garden View Twin Room,https://www.agoda.com/hoi-an-silk-village-resort-spa/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=ce50f332-2f10-4e54-a3b0-323970ea6373&ds=ewZZqMsZVtPh3VLY&checkin=2026-02-02,Deluxe Garden View Twin Room
Grand Signature by M Village Hoi An-Phòng Premier Hướng Vườn 2 Giường Đơn (Premier Garden View Twin Room),https://www.agoda.com/hoi-an-silk-village-resort-spa/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=ce50f332-2f10-4e54-a3b0-323970ea6373&ds=ewZZqMsZVtPh3VLY&checkin=2026-02-02,Phòng Premier Hướng Vườn 2 Giường Đơn (Premier Garden View Twin Room)
Grand Signature by M Village Hoi An-Phòng Đẳng Cấp Loại Sang Hướng Vườn (Premier Deluxe Garden View),https://www.agoda.com/hoi-an-silk-village-resort-spa/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=ce50f332-2f10-4e54-a3b0-323970ea6373&ds=ewZZqMsZVtPh3VLY&checkin=2026-02-02,Phòng Đẳng Cấp Loại Sang Hướng Vườn (Premier Deluxe Garden View)
