Hotel,URL,Room to be extracted
Grand Hyams Hotel,https://www.agoda.com/vi-vn/grand-hyams-hotel-quy-nhon-beach/hotel/quy-nhon-binh-d-nh-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922877&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=01a77534-88c7-4889-8643-77a7b869d8f9&tspTypes=16%2C-1&los=1&searchrequestid=a7568c59-9741-4488-8977-e60a9142a7e2&checkin=2026-04-02,Phòng Cao Cấp Hướng Vịnh 2 Giường Đơn (Premium Bay View Twin Room)
Crown Retreat Quy Nhơn (Crown Retreat Quy Nhon),https://www.agoda.com/vi-vn/crown-retreat-quy-nhon/hotel/quy-nhon-binh-dinh-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922877&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=01a77534-88c7-4889-8643-77a7b869d8f9&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=449cced4-08ec-4093-b05b-5f767c86a594&checkin=2026-04-02,Đôi Tiêu Chuẩn Hướng Vườn (Standard Garden View Double)
Anya Premier Beachfront Hotel Quy Nhon,"https://www.agoda.com/vi-vn/anya-premier-hotel-quy-nhon/hotel/quy-nhon-binh-dinh-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922877&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2026-04-2&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=01a77534-88c7-4889-8643-77a7b869d8f9&flightSearchCriteria=[object%20Object]&tspTypes=16,-1&los=1&searchrequestid=67463809-636e-4d95-a328-0f6638aa5a94",Premier City View Twin Room
Maia Resort Quy Nhon,https://www.agoda.com/vi-vn/maia-resort-quy-nhon-h25455207/hotel/quy-nhon-binh-dinh-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922877&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=01a77534-88c7-4889-8643-77a7b869d8f9&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=16%2C-1&los=1&searchrequestid=f94f846a-8ba6-41a1-ae7f-b61e751facc5&checkin=2026-04-02,Garden Pool Villa
Tru by Hilton Ha Long Hon Gai Centre,https://www.agoda.com/vi-vn/tru-by-hilton-ha-long-hon-gai-centre/hotel/h-long-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=6c1b2671-9083-4554-b59e-3abfb32028b1&checkin=2026-04-06,King Accessible Room
Wyndham Legend Halong Hotel,https://www.agoda.com/vi-vn/wyndham-legend-halong/hotel/halong-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922877&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=04d7d642-0b80-47d0-a80f-1319763b51cb&tspTypes=16&los=1&searchrequestid=af9b3a6c-54b1-475c-a1ed-678e44789509&checkin=2026-04-06,"2 Twin Beds Superior, Non Smoking"
Wyndham Garden Legend Halong,https://www.agoda.com/vi-vn/wyndham-garden-legend-halong/hotel/h-long-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=e7ad9d9d-d078-4551-8a87-5fa06035f076&ds=UMaemLCMblmKFPyT&checkin=2026-04-06,"Superior Garden Room, 2 Single Beds, Hill View"
HOTEL SOLEIL HALONG - Trademark Collection by Wyndham,https://www.agoda.com/vi-vn/hotel-sol-ha-long-trademark-collection-by-wyndham-h32345490/hotel/ha-long-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922877&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=f3aaa0b0-0c4a-445e-9964-6b2f92351764&tspTypes=16&los=1&searchrequestid=2b210242-2f6b-4878-98a5-6b2a19d6ea0d&checkin=2026-04-06,"2 Twin beds, Deluxe, City View, Non-Smoking"
Novotel Ha Long Bay,https://www.agoda.com/vi-vn/novotel-ha-long-bay-hotel/hotel/halong-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-04-6&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=0bab15e3-a96c-473a-a260-7fa3d06a0f67&ds=oXusxLoU5xhxwMea,Standard Room with 2 Single Size Beds
"Radisson Blu Hotel, Ha Long Bay",https://www.agoda.com/vi-vn/radisson-blu-hotel-ha-long-bay/hotel/h-long-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=b442f468-1308-4af0-92ff-1d6287645260&checkin=2026-04-06,Deluxe Room - Lake View
"Hyatt Place Ha Long Bay, Bai Chay",https://www.agoda.com/vi-vn/hyatt-place-ha-long-bay-bai-chay/hotel/h-long-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-04-6&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=d18a036b-6de6-4fc3-aa48-07ed588d2bad,Phòng có giường King (1 King Bed)
InterContinental Halong Bay Resort by IHG,https://www.agoda.com/vi-vn/intercontinental-halong-bay-resort/hotel/h-long-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=5e2ecf68-b605-4043-9e7b-c925f2cd67cd&checkin=2026-04-06,2 Twin Classic Halong Bay View
Mercure Hai Phong,https://www.agoda.com/vi-vn/mercure-hai-phong/hotel/haiphong-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-04-6&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=c8856967-8d0c-4c91-ac32-8adf7682ad0c,Phòng Superior 1 giường King (Superior 1 King Bed)
Pullman Hai Phong Grand Hotel,https://www.agoda.com/vi-vn/pullman-hai-phong-grand-hotel/hotel/haiphong-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1833981&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-04-6&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=f529ad8f-f1cb-44fd-af3b-f9a5fe1bc544,"Phòng Cao Cấp có 2 Giường Đơn (Superior Room, 2 Single Beds)"
"Wink Hai Phong Centre, part of Unscripted by Hyatt",https://www.agoda.com/vi-vn/wink-hotel-hai-phong/hotel/haiphong-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1918349&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-04-6&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=86ea510a-7a29-4ff2-b8a2-6b2dec59fc95,Phòng 2 Giường đơn (2 Twin Beds)
Sheraton Hai Phong,https://www.agoda.com/vi-vn/sheraton-hai-phong/hotel/haiphong-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1918349&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-04-6&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=8521319e-ad11-44d0-99ad-c1378303127e,"Deluxe, Guest Room, 2 Twin (Deluxe, Guest room, 2 Twin)"
