Hotel,URL,Room to be extracted
Rosamia Da Nang Hotel,https://www.agoda.com/rosamia-da-nang-hotel/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-01-26&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=afa161d4-e00e-4421-aad1-16ea316add20&ds=gGhXZL9PHQBVUBgD,Grand Deluxe Double
SALA DANANG BEACH HOTEL,https://www.agoda.com/sala-danang-beach-hotel/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-01-27&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=be0eaa11-f1e1-47bb-93ec-57848dfb4d68&ds=gGhXZL9PHQBVUBgD,Superior Double City View
Sanouva Danang Hotel,https://www.agoda.com/sanouva-danang-hotel/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2024-08-13&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=7a10f578-0f20-4dec-b211-5e4bbecc1b1d,Deluxe Twin City View
Satya Da Nang Hotel Han Market,https://www.agoda.com/satya-da-nang-hotel/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2024-08-13&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=8e6797a0-f5e4-4b47-bd42-cb70ebcd3f38,Superior Double Balcony
sel de mer,https://www.agoda.com/sel-de-mer-hotel-suites_2/hotel/da-nang-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-05-27&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=b8e1e608-36a0-46f6-9cda-5bb52060d6e1&ds=KVpBPN4fJR0hNKLf,Superior Twin City View
Sheraton Grand Danang Beach Resort & Spa,https://www.agoda.com/sheraton-grand-danang-beach-resort-spa/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=17813e76-a7b9-49b0-ae1b-827c70fe1f11&ds=k1Qw7BnT0zuXtSP0,"Guest room, 2 Twin, Bay view"
Shilla Monogram Danang,https://www.agoda.com/shilla-monogram-danang-h10789475/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=cac38d78-3a40-4b4a-8aba-25655bafe8f3&ds=k1Qw7BnT0zuXtSP0&checkin=2025-12-18,Superior Partial Ocean View Twin Room
Sun River Hotel,https://www.agoda.com/sun-river-hotel/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2024-08-13&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=51076d03-9e60-4383-8a2c-7516e4720595&ds=hqogU2F3QtSqcY%2Br,Standard Twin No Window
TMS Hotel Da Nang Beach,https://www.agoda.com/tms-hotel-da-nang-beach/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=aa233466-9ab5-4573-ab88-a544fcfc20a4&ds=gGhXZL9PHQBVUBgD&checkin=2026-01-26,Premier City View Twin Room with Balcony and Spa Included
Vanda Hotel,https://www.agoda.com/vanda-hotel/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2024-08-13&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=da03d319-1c83-4bfd-99fa-86c1ef8e9cec,Superior Double City View
