Hotel,URL,Room to be extracted,,
M Village Express 46 Thao Dien,https://www.agoda.com/express-by-m-village-46-th-o-di-n/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-07-22&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=bd6aec34-c662-44db-b658-a47c10f62330&ds=qMnnwutu%2FZvtFqcS,Standard Room (Non View),,
M Village Express Dien Bien Phu Q3,https://www.agoda.com/m-village-di-n-bien-ph-q3/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-25&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&tspTypes=3&los=1&searchrequestid=06e7ee69-5eff-4752-9fe9-659c75bf152e&ds=qMnnwutu%2FZvtFqcS,Standard Room without Window,,
M Village Hotel Ho Guom,https://www.trip.com/hotels/detail/?cityEnName=Hanoi&cityId=286&hotelId=117330768&checkIn=2025-10-13&checkOut=2025-10-14&adult=2&children=0&crn=1&ages=&curr=VND&barcurr=VND&hoteluniquekey=H4sIAAAAAAAA_-M6zsTFJMEkdYCJ4_DrI9dYhRgNLH4LOmrG9B_6OqXcwfObBpBVWekQwFPIAAIW3Q6NjCBJjWPtDjMYLyz7ab6R8ewZIPCxc9jByHSCsXlKzAKmWcv-mp9iYeF48pLtEssOxuhqpezUSiUrEx2lksySnFQlK6UwxxAlHaWU1OJkIAfISszNL80rAbINDQ0tTEz0DAyAgiWJFZ4pYG3JiTnJpTmJJakhlQVA7WY6SpnFziVFmQVBqbmZJSWpQFVpiTnFqSDxoNRioEwyWFDJD2hMEVQgMz8Pot0QRSwsMac0FeIKoIVuqVA7DGtjH7EwRcd-YmH4xcLK8ffbYcYmVoYuVoZJrCwcQF_uYmXzdzO1DHK7wNrQvYBJSt7QwMDA1NDY1FTXINHS2CLVJFnXxMLC0sxC19zI0NJM48fM3afmGhuZKDBqCcaHeIb5GZYnlaQlFiUllWQWGDCeYpQyNDe1NDY3sTAztjQ21LNITkzJTHJLSfXMyvNgDGKzdHS2cLKIsuFiDvNzEUyQuu9-4YChvRSIpwjjaYF4hjBeYGX_tPLJz5ntI2EiSaypeboRERlrhQsYGxgZuxi5BRg9GCMYK0C8VYwMGxgZdzD-hwHGV4wg8wAPa1rBJQIAAA&edmHotelData=&masterhotelid_tracelogid=100051355-0a938e4c-488968-72196&detailFilters=17%7C1%7E17%7E1*31%7C117330768%7E31%7E117330768*80%7C1%7C0%7E80%7E1*29%7C1%7E29%7E1%7C2&hotelType=normal&display=inctotal&subStamp=648&isCT=true&locale=en-XX,Standard Room without Window,,
M Village Hotel Nguyễn Du,http://agoda.com/m-village-hotel-nguy-n-du/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-9&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=b93b6fc7-9ec8-446d-9d56-346281e49563,Superior Room with Window - No View,,
M Village Hotel Thợ Nhuộm,https://www.trip.com/hotels/hanoi-hotel-detail-6311204/m-village-hotel-tho-nhuom/?locale=en_xx,Hot TN - Trip com bao gồm 2 pax ăn sáng + thuế Superior,,
M Village Kim Mã,https://www.trip.com/hotels/hanoi-hotel-detail-130930228/m-village-hotel-kim-ma/?checkIn=2026-01-19&checkOut=2026-01-20&crn=1&adult=2&children=0&locale=en_xx,Superior No Window,,
M Village Living Nguyen Van Huong,https://www.agoda.com/m-village-nguy-n-van-hu-ng/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=1f7b6f5c-52a6-449e-b7f7-6fe442e0c8bc&ds=qMnnwutu%2FZvtFqcS&checkin=2025-07-25,Superior - 1 Queen Bed,,
M Village Living Tran Nao,https://www.agoda.com/m-village-the-compound/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=8dbc6579-78e9-4d2a-ad07-715a864f24d1&ds=qMnnwutu%2FZvtFqcS&checkin=2025-07-23,Studio Room,,
M Village Living Vo Thi Sau,https://www.agoda.com/m-village-the-boutique/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-07-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=ca480d5f-ddca-436b-9560-2f2655f02de8&ds=qMnnwutu%2FZvtFqcS,Standard Studio,,
M Village Sig Tho Nhuom,https://vn.trip.com/hotels/hanoi-hotel-detail-7023235/signature-by-m-village-th-nhum/?checkIn=2025-04-25&checkOut=2025-04-26&crn=1&adult=2&children=0,Sig TN - Trip com bao gồm 2 pax ăn sáng + thuế STUDIO,,
M Village Tao Đàn,https://www.agoda.com/m-village-tao-dan-park/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-03-30&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=4%2C-1&los=1&searchrequestid=56718ea8-f017-44bc-8b80-fdefdc33eb23&ds=BIE8N1kPrvyyX%2FfQ,Superior Room,,115
MV Thi sách,https://www.agoda.com/hotel-de-charme-saigon-former-asian-ruby-luxury-hotel/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=7439fa48-4902-4b76-ae13-4b8718105c1d&ds=OfhJmeGr3US3OQJl&checkin=2025-03-31,Superior with Bathtub,,
MV Tôn Thất Đạm,https://www.agoda.com/m-village-ton-th-t-d-m/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-12-27&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=65ea474e-41ff-4c0b-9beb-87b2da580ec4&ds=W9W47XQm9iNhK7jY,Standard Room without Window,,
MV TTĐ,https://www.agoda.com/m-village-ton-th-t-d-m/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-12-27&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=65ea474e-41ff-4c0b-9beb-87b2da580ec4&ds=W9W47XQm9iNhK7jY,Deluxe Room,,75
MV TTĐ,https://www.agoda.com/m-village-ton-th-t-d-m/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-12-27&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=65ea474e-41ff-4c0b-9beb-87b2da580ec4&ds=W9W47XQm9iNhK7jY,Deluxe Room Twin,,
President Maison,https://www.agoda.com/president-maison-signature-by-m-village/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=03593fa4-8469-4b9a-9ff8-e6ebc77a6892&ds=RO3ZU6JUu9Rt6DDC&checkin=2025-08-31,Deluxe - 1 King Bed,,
Savvy by M Village Hai Bà Trưng,https://www.agoda.com/vi-vn/savvy-by-m-village-hai-ba-trung-saigon-downtown/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-01-5&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=ac4e6ca7-f6d7-4006-8f8e-9c0a997c050b&ds=YuiGcJl7cS1kNanN,"Phòng cao cấp Giường Lớn, Hướng Thành Phố (Superior King Bed, City View)",,
Signature by M Village HBT,https://www.agoda.com/signature-by-m-village-hai-ba-trung/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-31&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=f216efd3-5069-4b05-bdf8-ffc813e72ebc&ds=RO3ZU6JUu9Rt6DDC,Studio Room City View,,
Signature Lê Thánh Tôn,https://www.agoda.com/signature-by-m-village-le-thanh-ton/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1833981&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-03-30&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=b0d106f1-4995-4d40-8a07-67fc477994f5&ds=kRNzZxqQmLBulEMM,Deluxe City View Twin Room,,
InterContinental,https://www.agoda.com/intercontinental-nha-trang/hotel/nha-trang-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-04-17&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1%2C-1&los=1&searchrequestid=ab4480ff-0b2a-4c3f-9fb7-a86cb0138e8c&ds=V4OwFj%2FJmdc3wSq2,2 Single Classic City View,,
Melia Vinpearl,https://www.agoda.com/vinpearl-condotel-empire-nha-trang/hotel/nha-trang-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-04-17&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=e1808ea8-8f18-4b51-87e4-a20ff5fa3c69&ds=V4OwFj%2FJmdc3wSq2,Deluxe Room,,
Mường Thanh,https://www.agoda.com/muong-thanh-luxury-nha-trang-hotel/hotel/nha-trang-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-04-17&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=c468e247-824e-45cd-8b76-76af895ad92e&ds=V4OwFj%2FJmdc3wSq2,Deluxe Double City View,,
Potique Hotel,https://www.agoda.com/potique-hotel/hotel/nha-trang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-5&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=e76e6a11-ec90-4aa8-ae1a-9bdd2af085cf&ds=wjA6QiyYxTZMkZ%2Fj,Classic Room,,
Vinpearl Resort,https://www.agoda.com/vinpearl-resort-nha-trang/hotel/nha-trang-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-04-17&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1%2C-1&los=1&searchrequestid=a1221de0-b5f7-486a-9ace-70e956f386e9&ds=V4OwFj%2FJmdc3wSq2,Deluxe Twin Room,,
Hotel de la Coupole - MGallery,https://www.agoda.com/hotel-de-la-coupole-mgallery-by-sofitel/hotel/sapa-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=8%2C-1&los=1&searchrequestid=c7d510e7-47c6-4017-8835-67f0adb5dace&checkin=2026-01-12,Classic Room Twin,,
KK Sapa Hotel,https://www.agoda.com/kk-sapa-hotel/hotel/sapa-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=5c4666a0-3593-41d6-b49f-4f2312fba0e6&checkin=2026-01-12,Superior Twin City View,,
Pao's Sapa Leisure Hotel,https://www.agoda.com/pao-s-sapa-leisure-hotel/hotel/sapa-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-01-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=[object%20Object]&los=1&searchrequestid=e6777808-ce94-4c80-82dd-286280b875bb,Deluxe Garden View,,
Sapa Jade Hill Resort & Spa,https://www.agoda.com/sapa-jade-hill-resort-spa/hotel/sapa-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=6033f94a-f06b-48f9-86b7-a51f4a502040&checkin=2026-01-12,Deluxe Valley View Room,,
Silk Path Grand Sapa Resort & Spa,https://www.agoda.com/silk-path-grand-resort-spa-sapa/hotel/sapa-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-01-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=[object%20Object]&tspTypes=-1&los=1&searchrequestid=e8ad6f1a-6a2d-44b3-990a-fe64f3a6575e,Classic Garden View,,
Topas Ecolodge,https://www.agoda.com/topas-ecolodge/hotel/sapa-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=2b365a19-c416-4ac7-94aa-b5691c673229&checkin=2026-01-12,Deluxe Suite,,
Ville De Mont Mountain Resort,https://www.agoda.com/ville-de-mont-mountain-resort/hotel/sapa-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=-1&los=1&searchrequestid=bf0c858f-3c41-45ca-84b8-8458ba6cb109&checkin=2026-01-12,On the Rock 1-Bedroom Executive Villa,,
Amanaki,https://www.agoda.com/en-gb/amanaki-saigon-boutique-hotel/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=e188997b-5a3b-4f5d-9f3b-10f4a2ab94c4&ds=Jxkz%2BJdTWWqcFwfi&checkin=2023-12-23,Signature Double Room,,
Amanaki,https://www.agoda.com/en-gb/amanaki-saigon-boutique-hotel/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=e188997b-5a3b-4f5d-9f3b-10f4a2ab94c4&ds=Jxkz%2BJdTWWqcFwfi&checkin=2023-12-23,Signature Twin Room,,
Au Lac Charner,https://www.agoda.com/en-gb/silverland-charner/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=fc27357f-de79-4ce4-9c7f-04f214d79b9a&ds=zb%2Bq4M5wYVlaMl50&checkin=2024-01-15,Ruffier Deluxe Twin Room without Window,,
Au Lac Charner,https://www.agoda.com/en-gb/silverland-charner/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=fc27357f-de79-4ce4-9c7f-04f214d79b9a&ds=zb%2Bq4M5wYVlaMl50&checkin=2024-01-15,Vannier Premier Twin Room,,
Hato,https://www.agoda.com/hato-saigon-hotel-rooftop/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2024-03-11&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=88064a43-db35-443e-b02a-a34ef59cfb3a&ds=V4OwFj%2FJmdc3wSq2,Deluxe Double No Window,,
